Word		Original_feature		Predicted_feature
तिलहन		n		n
के		psp		psp
उत्पादन		n		n
को		psp		psp
लेकर		v		v
उद्योग		n		n
जगत		n		n
और		avy		avy
कृषि		n		n
मंत्रालय		n		n
एक		num		num
बार		n		n
फिर		adv		adv
अलग		adj		adj
-		punc		punc
अलग		punc		adj
दावे		n		n
कर		v		v
रहे		v		v
हैं		v		v
।		punc		punc
उद्योग		n		n
जगत		n		n
का		psp		psp
कहना		v		v
है		v		v
कि		avy		avy
इस		pn		pn
साल		n		n
खरीफ		n		n
सीजन		n		n
के		psp		psp
दौरान		nst		nst
तिलहन		n		n
का		psp		psp
उत्पादन		n		n
130		num		num
लाख		num		num
टन		n		n
होगा		v		v
।		punc		punc
जबकि		avy		avy
कृषि		n		n
मंत्रालय		n		n
के		psp		psp
मुताबिक		psp		psp
इस		pn		pn
साल		n		n
तिलहन		n		n
का		psp		psp
उत्पादन		n		n
145.6		num		num
लाख		num		num
टन		n		n
रहने		v		v
का		psp		psp
अनुमान		n		n
है		v		v
,		punc		punc
जो		pn		pn
पिछले		adj		adj
साल		n		n
की		psp		psp
तुलना		n		n
में		psp		psp
करीब		avy		avy
2.5		num		num
फीसदी		n		n
कम		avy		avy
है		v		v
।		punc		punc
लेकिन		avy		avy
उद्योग		n		n
का		psp		psp
कहना		v		v
है		v		v
कि		avy		avy
इस		pn		pn
साल		n		n
तिलहन		n		n
का		psp		psp
उत्पादन		n		n
पिछले		adj		adj
साल		n		n
की		psp		psp
तुलना		n		n
में		psp		psp
ज्यादा		avy		avy
होगा		v		v
।		punc		punc
उद्योग		n		n
जगत		n		n
और		avy		avy
कृषि		n		n
मंत्रालय		n		n
ने		psp		psp
खरीफ		n		n
सीज़न		n		n
के		psp		psp
पहले		nst		nst
अग्रिम		adj		adj
अनुमानों		n		n
को		psp		psp
जारी		adj		adj
किया		v		v
है		v		v
।		punc		punc
तिलहन		n		n
उद्योग		n		n
और		avy		avy
ट्रेड		n		n
की		psp		psp
सबसे		avy		avy
बड़ी		adj		adj
संस्था		n		n
सेंट्रल		adj		adj
ऑर्गेनाइजेशन		n		n
फॉर		psp		adv
ऑयल		n		n
इंडस्ट्री		n		n
एंड		avy		avy
ट्रेड		n		n
यानि		avy		avy
कोइट		n		n
का		psp		psp
कहना		v		v
है		v		v
कि		avy		avy
इस		pn		pn
साल		n		n
तिलहन		n		n
का		psp		psp
उत्पादन		n		n
कम		avy		avy
रहने		v		v
की		psp		psp
उम्मीद		n		n
की		v		v
जा		v		v
रही		v		v
है		v		v
।		punc		punc
उद्योग		n		n
जगत		n		n
दावा		n		n
करता		v		v
है		v		v
कि		avy		avy
इस		pn		pn
खरीफ		n		n
सीज़न		n		n
के		psp		psp
दौरान		nst		nst
तिलहन		n		n
का		psp		psp
उत्पादन		n		n
पिछले		adj		adj
साल		n		n
की		psp		psp
तुलना		n		n
में		psp		psp
ज्यादा		avy		avy
होगा		v		v
।		punc		punc
उद्योग		n		n
के		psp		psp
मुताबिक		psp		psp
इस		pn		pn
साल		n		n
तिलहन		n		n
उत्पादन		n		n
करीब		avy		avy
130.4		num		num
लाख		num		num
टन		n		n
होगा		v		v
।		punc		punc
जो		pn		pn
पिछले		adj		adj
साल		n		n
के		psp		psp
उत्पादन		n		n
में		psp		psp
करीब		avy		avy
6.8		num		num
लाख		num		num
टन		n		n
ज्यादा		avy		avy
है		v		v
।		punc		punc
पिछले		adj		adj
साल		n		n
तिलहन		n		n
का		psp		psp
उत्पादन		n		n
123		num		num
लाख		num		num
टन		n		v
हुआ		v		v
था		v		v
।		punc		punc
उद्योग		n		n
का		psp		psp
अनुमान		n		n
है		v		v
कि		avy		avy
इस		pn		pn
साल		n		n
मूँगफली		n		n
का		psp		psp
उत्पादन		n		n
56.5		num		num
लाख		num		num
टन		n		n
NULL		v		unk
और		avy		avy
सोयाबीन		n		n
का		psp		psp
उत्पादन		n		n
53.6		num		num
लाख		num		num
टन		n		n
होगा		v		v
।		punc		punc
जबकि		avy		avy
पिछले		adj		adj
साल		n		n
मूँगफली		n		n
का		psp		psp
उत्पादन		n		n
44.5		num		num
NULL		v		unk
और		avy		avy
सोयाबीन		n		n
का		psp		psp
उत्पादन		n		n
58.5		num		num
लाख		num		num
टन		n		n
हुआ		v		v
था		v		v
।		punc		punc
कृषि		n		n
मंत्रालय		n		n
उद्योग		n		n
जगत		n		n
के		psp		psp
इन		pn		pn
आँकड़ों		n		n
से		psp		psp
इत्तेफाक		n		n
नहीं		avy		avy
रखता		v		v
है		v		v
और		avy		avy
उसके		pn		pn
मुताबिक		psp		psp
इस		pn		pn
साल		n		n
तिहलन		n		n
उत्पादन		n		n
में		psp		psp
करीब		avy		avy
2.5		num		num
फीसदी		n		n
की		psp		psp
कमी		n		n
आ		v		v
सकती		v		v
है		v		v
।		punc		punc
इस		pn		pn
साल		n		n
महाराष्ट्र		n		n
और		avy		avy
गुजरात		n		n
में		psp		psp
ज्यादा		avy		avy
बारिश		n		n
का		psp		psp
असर		n		n
तिलहन		n		n
उत्पादन		n		n
पर		psp		psp
पड़ा		v		v
है		v		v
।		punc		punc
पिछले		adj		adj
साल		n		n
149.4		num		num
लाख		num		num
टन		n		n
तिलहन		n		n
का		psp		psp
उत्पादन		n		n
हुआ		v		v
था		v		v
।		punc		punc
मंत्रालय		n		n
का		psp		psp
कहना		v		v
है		v		v
कि		avy		avy
इस		pn		pn
साल		n		n
मूँगफली		n		n
का		psp		psp
उत्पादन		n		n
59.4		num		num
लाख		num		num
टन		n		n
NULL		v		unk
और		avy		avy
सोयाबीन		n		n
का		psp		psp
65.8		num		num
लाख		num		num
टन		n		n
होने		v		v
की		psp		psp
संभावना		n		n
है		v		v
।		punc		punc
बैजोरिया		n		n
का		psp		psp
कहना		v		v
है		v		v
कि		avy		avy
इन		pn		pn
आँकड़ों		n		n
में		psp		psp
अंतर		n		n
का		psp		psp
असर		n		n
तिलहन		n		n
की		psp		psp
कीमतों		n		n
पर		psp		psp
नहीं		avy		avy
पड़ता		v		v
है		v		v
।		punc		punc
उनका		pn		pn
कहना		v		v
है		v		v
कि		avy		avy
उनके		pn		pn
पास		nst		nst
ये		pn		pn
आँकड़ें		n		n
स्थानीय		adj		adj
स्तर		n		n
पर		psp		psp
आते		v		v
हैं		v		v
जो		pn		pn
पूरी		adj		adj
तरह		n		n
से		psp		psp
सही		adj		adj
होते		v		v
हैं		v		v
।		punc		punc
पाकिस्तान		n		n
क्रिकेट		n		n
बोर्ड		n		n
(		punc		punc
पीसीबी		n		n
)		punc		punc
ने		psp		psp
भारत		n		n
-		punc		punc
पाकिस्तान		n		n
क्रिकेट		n		n
मैच		n		n
देखने		v		v
के		psp		psp
लिए		psp		psp
कांग्रेस		n		n
सांसद		n		n
राहुल		n		n
गांधी		n		n
और		avy		avy
उनकी		pn		pn
बहन		n		n
प्रियंका		n		n
वाड्रा		n		n
को		psp		psp
निमंत्रण		n		n
भेजा		v		v
है		v		v
।		punc		punc
मीडिया		n		n
रिपोर्टों		n		n
के		psp		psp
मुताबिक		psp		psp
भारत		n		n
के		psp		psp
खिलाफ		adj		psp
जारी		adj		adj
क्रिकेट		n		n
श्रृंखला		n		n
को		psp		psp
देखने		v		v
के		psp		psp
लिए		psp		psp
बोर्ड		n		n
द्वारा		psp		psp
कांग्रेस		n		n
अध्यक्ष		n		n
सोनिया		n		n
गांधी		n		n
को		psp		psp
भी		avy		avy
निमंत्रण		n		n
भेजा		v		v
जा		v		v
सकता		v		v
है		v		v
।		punc		punc
पीसीबी		n		n
निदेशक		n		n
(		punc		punc
बोर्ड		n		n
ऑपरेशंस		n		n
)		punc		punc
अब्बास		n		n
जैदी		n		n
के		psp		psp
हवाले		n		n
से		psp		psp
एक		num		num
लोकल		adj		n
टीवी		n		n
चैनल		n		n
