Word		Original_feature		Predicted_feature
तिलहन		3		3
के		UNK		UNK
उत्पादन		3		3
को		UNK		UNK
लेकर		any		any
उद्योग		3		3
जगत		3		3
और		UNK		UNK
कृषि		3		3
मंत्रालय		3		3
एक		UNK		UNK
बार		3		3
फिर		UNK		UNK
अलग		UNK		UNK
-		UNK		UNK
अलग		UNK		UNK
दावे		3		3
कर		3		3
रहे		any		any
हैं		3		3
।		UNK		UNK
उद्योग		3		3
जगत		3		3
का		UNK		UNK
कहना		any		any
है		3		3
कि		UNK		UNK
इस		3		3
साल		3		3
खरीफ		3		3
सीजन		3		3
के		UNK		UNK
दौरान		3		3
तिलहन		3		3
का		UNK		UNK
उत्पादन		3		3
130		UNK		UNK
लाख		UNK		UNK
टन		3		3
होगा		3		3
।		UNK		UNK
जबकि		UNK		UNK
कृषि		3		3
मंत्रालय		3		3
के		UNK		UNK
मुताबिक		UNK		UNK
इस		3		3
साल		3		3
तिलहन		3		3
का		UNK		UNK
उत्पादन		3		3
145.6		UNK		UNK
लाख		UNK		UNK
टन		3		3
रहने		any		any
का		UNK		UNK
अनुमान		3		3
है		3		3
,		UNK		UNK
जो		3		3
पिछले		UNK		UNK
साल		3		3
की		UNK		UNK
तुलना		UNK		3
में		UNK		UNK
करीब		UNK		UNK
2.5		UNK		UNK
फीसदी		3		3
कम		UNK		UNK
है		3		3
।		UNK		UNK
लेकिन		UNK		UNK
उद्योग		3		3
का		UNK		UNK
कहना		any		any
है		3		3
कि		UNK		UNK
इस		3		3
साल		3		3
तिलहन		3		3
का		UNK		UNK
उत्पादन		3		3
पिछले		UNK		UNK
साल		3		3
की		UNK		UNK
तुलना		UNK		3
में		UNK		UNK
ज्यादा		UNK		UNK
होगा		3		3
।		UNK		UNK
उद्योग		3		3
जगत		3		3
और		UNK		UNK
कृषि		3		3
मंत्रालय		3		3
ने		UNK		UNK
खरीफ		3		3
सीज़न		3		3
के		UNK		UNK
पहले		3		3
अग्रिम		UNK		UNK
अनुमानों		3		3
को		UNK		UNK
जारी		UNK		UNK
किया		3		3
है		3		3
।		UNK		UNK
तिलहन		3		3
उद्योग		3		3
और		UNK		UNK
ट्रेड		3		3
की		UNK		UNK
सबसे		UNK		UNK
बड़ी		UNK		UNK
संस्था		3		3
सेंट्रल		UNK		UNK
ऑर्गेनाइजेशन		3		3
फॉर		UNK		UNK
ऑयल		3		3
इंडस्ट्री		3		3
एंड		UNK		UNK
ट्रेड		3		3
यानि		UNK		UNK
कोइट		3		3
का		UNK		UNK
कहना		any		any
है		3		3
कि		UNK		UNK
इस		3		3
साल		3		3
तिलहन		3		3
