Word		Original_feature		Predicted_feature
तिलहन		0		0
के		UNK		UNK
उत्पादन		0		0
को		UNK		UNK
लेकर		kara		kara
उद्योग		0		0
जगत		0		0
और		UNK		UNK
कृषि		0		0
मंत्रालय		0		0
एक		UNK		UNK
बार		0		0
फिर		UNK		UNK
अलग		UNK		UNK
-		UNK		UNK
अलग		UNK		UNK
दावे		0		0
कर		0		0
रहे		yA		yA
हैं		hE		hE
।		UNK		UNK
उद्योग		0		0
जगत		0		0
का		UNK		UNK
कहना		nA		nA
है		hE		hE
कि		UNK		UNK
इस		UNK		UNK
साल		0		0
खरीफ		0		0
सीजन		0		0
के		UNK		UNK
दौरान		UNK		UNK
तिलहन		0		0
का		UNK		UNK
उत्पादन		0		0
130		UNK		UNK
लाख		UNK		UNK
टन		0		0
होगा		gA		gA
।		UNK		UNK
जबकि		UNK		UNK
कृषि		0		0
मंत्रालय		0		0
के		UNK		UNK
मुताबिक		UNK		UNK
इस		UNK		UNK
साल		0		0
तिलहन		0		0
का		UNK		UNK
उत्पादन		0		0
145.6		UNK		UNK
लाख		UNK		UNK
टन		0		0
रहने		nA		nA
का		UNK		UNK
अनुमान		0		0
है		hE		hE
,		UNK		UNK
जो		0		0
पिछले		UNK		UNK
साल		0		0
की		UNK		UNK
तुलना		UNK		0
में		UNK		UNK
करीब		UNK		UNK
2.5		UNK		UNK
फीसदी		0		0
कम		UNK		UNK
है		hE		hE
।		UNK		UNK
लेकिन		UNK		UNK
उद्योग		0		0
का		UNK		UNK
कहना		nA		nA
है		hE		hE
कि		UNK		UNK
इस		UNK		UNK
साल		0		0
तिलहन		0		0
का		UNK		UNK
उत्पादन		0		0
पिछले		UNK		UNK
साल		0		0
की		UNK		UNK
तुलना		UNK		0
में		UNK		UNK
ज्यादा		UNK		UNK
होगा		gA		gA
।		UNK		UNK
उद्योग		0		0
जगत		0		0
और		UNK		UNK
कृषि		0		0
मंत्रालय		0		0
ने		UNK		UNK
खरीफ		0		0
सीज़न		0		0
के		UNK		UNK
पहले		UNK		UNK
अग्रिम		UNK		UNK
अनुमानों		0		0
को		UNK		UNK
जारी		UNK		UNK
किया		yA		yA
है		hE		hE
।		UNK		UNK
तिलहन		0		0
उद्योग		0		0
और		UNK		UNK
ट्रेड		0		0
की		UNK		UNK
सबसे		UNK		UNK
बड़ी		UNK		UNK
संस्था		0		0
सेंट्रल		UNK		UNK
ऑर्गेनाइजेशन		0		0
फॉर		UNK		UNK
ऑयल		0		0
इंडस्ट्री		0		0
एंड		UNK		UNK
ट्रेड		0		0
यानि		UNK		UNK
कोइट		0		0
का		UNK		UNK
कहना		nA		nA
है		hE		hE
कि		UNK		UNK
इस		UNK		UNK
साल		0		0
तिलहन		0		0
का		UNK		UNK
उत्पादन		0		0
कम		UNK		UNK
रहने		nA		nA
की		UNK		UNK
उम्मीद		0		0
की		yA		yA
जा		0		0
रही		yA		yA
है		hE		hE
।		UNK		UNK
उद्योग		0		0
जगत		0		0
दावा		0		0
करता		wA		wA
है		hE		hE
कि		UNK		UNK
इस		UNK		UNK
खरीफ		0		0
सीज़न		0		0
के		UNK		UNK
दौरान		UNK		UNK
तिलहन		0		0
का		UNK		UNK
उत्पादन		0		0
पिछले		UNK		UNK
साल		0		0
की		UNK		UNK
तुलना		UNK		0
में		UNK		UNK
ज्यादा		UNK		UNK
होगा		gA		gA
।		UNK		UNK
उद्योग		0		0
के		UNK		UNK
मुताबिक		UNK		UNK
इस		UNK		UNK
साल		0		0
तिलहन		0		0
उत्पादन		0		0
करीब		UNK		UNK
130.4		UNK		UNK
लाख		UNK		UNK
टन		0		0
होगा		gA		gA
।		UNK		UNK
जो		0		0
पिछले		UNK		UNK
साल		0		0
के		UNK		UNK
उत्पादन		0		0
में		UNK		UNK
करीब		UNK		UNK
6.8		UNK		UNK
लाख		UNK		UNK
टन		0		0
ज्यादा		UNK		UNK
है		hE		hE
।		UNK		UNK
पिछले		UNK		UNK
साल		0		0
तिलहन		0		0
का		UNK		UNK
उत्पादन		0		0
123		UNK		UNK
लाख		UNK		UNK
टन		0		0
हुआ		yA		yA
था		WA		WA
।		UNK		UNK
उद्योग		0		0
का		UNK		UNK
अनुमान		0		0
है		hE		hE
कि		UNK		UNK
इस		UNK		UNK
साल		0		0
मूँगफली		0		0
का		UNK		UNK
उत्पादन		0		0
56.5		UNK		UNK
लाख		UNK		UNK
टन		0		0
NULL		UNK		UNK
और		UNK		UNK
सोयाबीन		0		0
का		UNK		UNK
उत्पादन		0		0
53.6		UNK		UNK
लाख		UNK		UNK
टन		0		0
होगा		gA		gA
।		UNK		UNK
जबकि		UNK		UNK
पिछले		UNK		UNK
साल		0		0
मूँगफली		0		0
का		UNK		UNK
उत्पादन		0		0
44.5		UNK		UNK
NULL		UNK		UNK
और		UNK		UNK
सोयाबीन		0		0
का		UNK		UNK
उत्पादन		0		0
58.5		UNK		UNK
लाख		UNK		UNK
टन		0		0
हुआ		yA		yA
था		WA		WA
।		UNK		UNK
कृषि		0		0
मंत्रालय		0		0
उद्योग		0		0
जगत		0		0
के		UNK		UNK
इन		UNK		UNK
आँकड़ों		0		0
से		UNK		UNK
इत्तेफाक		0		0
नहीं		UNK		UNK
रखता		wA		wA
है		hE		hE
और		UNK		UNK
उसके		ke		ke
मुताबिक		UNK		UNK
इस		UNK		UNK
साल		0		0
तिहलन		0		0
उत्पादन		0		0
में		UNK		UNK
करीब		UNK		UNK
2.5		UNK		UNK
फीसदी		0		0
की		UNK		UNK
कमी		0		0
आ		0		0
सकती		wA		wA
है		hE		hE
।		UNK		UNK
इस		UNK		UNK
साल		0		0
महाराष्ट्र		0		0
और		UNK		UNK
गुजरात		0		0
में		UNK		UNK
ज्यादा		UNK		UNK
बारिश		0		0
का		UNK		UNK
असर		0		0
तिलहन		0		0
उत्पादन		0		0
पर		UNK		UNK
पड़ा		yA		yA
है		hE		hE
।		UNK		UNK
पिछले		UNK		UNK
साल		0		0
149.4		UNK		UNK
लाख		UNK		UNK
टन		0		0
तिलहन		0		0
का		UNK		UNK
उत्पादन		0		0
हुआ		yA		yA
था		WA		WA
।		UNK		UNK
मंत्रालय		0		0
का		UNK		UNK
कहना		nA		nA
है		hE		hE
कि		UNK		UNK
इस		UNK		UNK
साल		0		0
मूँगफली		0		0
का		UNK		UNK
उत्पादन		0		0
59.4		UNK		UNK
लाख		UNK		UNK
टन		0		0
NULL		UNK		UNK
और		UNK		UNK
सोयाबीन		0		0
का		UNK		UNK
65.8		UNK		UNK
लाख		UNK		UNK
टन		0		0
होने		nA		nA
की		UNK		UNK
संभावना		0		0
है		hE		hE
।		UNK		UNK
बैजोरिया		0		0
का		UNK		UNK
कहना		nA		nA
है		hE		hE
कि		UNK		UNK
इन		UNK		UNK
आँकड़ों		0		0
में		UNK		UNK
अंतर		0		0
का		UNK		UNK
असर		0		0
तिलहन		0		0
की		UNK		UNK
कीमतों		0		0
