Word		Original_feature		Predicted_feature
तिलहन		o		o
के		o		o
उत्पादन		o		o
को		UNK		UNK
लेकर		UNK		UNK
उद्योग		d		d
जगत		d		o
और		UNK		UNK
कृषि		d		d
मंत्रालय		d		d
एक		any		any
बार		d		d
फिर		UNK		UNK
अलग		d		UNK
-		UNK		UNK
अलग		d		UNK
दावे		d		d
कर		UNK		UNK
रहे		UNK		UNK
हैं		UNK		UNK
।		UNK		UNK
उद्योग		d		d
जगत		o		o
का		d		d
कहना		d		d
है		UNK		UNK
कि		UNK		UNK
इस		d		o
साल		d		d
खरीफ		d		d
सीजन		o		o
के		UNK		UNK
दौरान		d		d
तिलहन		o		o
का		d		d
उत्पादन		d		d
130		any		any
लाख		any		any
टन		d		d
होगा		UNK		UNK
।		UNK		UNK
जबकि		UNK		UNK
कृषि		d		d
मंत्रालय		o		o
के		UNK		UNK
मुताबिक		UNK		UNK
इस		o		o
साल		d		d
तिलहन		o		o
का		d		d
उत्पादन		d		d
145.6		any		any
लाख		any		any
टन		d		d
रहने		o		o
का		d		d
अनुमान		d		d
है		UNK		UNK
,		UNK		UNK
जो		d		d
पिछले		o		o
साल		o		o
की		o		o
तुलना		o		o
में		UNK		UNK
करीब		UNK		UNK
2.5		any		any
फीसदी		d		d
कम		UNK		UNK
है		UNK		UNK
।		UNK		UNK
लेकिन		UNK		UNK
उद्योग		o		o
का		d		d
कहना		d		d
है		UNK		UNK
कि		UNK		UNK
इस		o		o
साल		d		d
तिलहन		o		o
का		d		d
उत्पादन		d		d
पिछले		o		o
साल		o		o
की		o		o
तुलना		o		o
में		UNK		UNK
ज्यादा		UNK		UNK
होगा		UNK		UNK
।		UNK		UNK
उद्योग		d		d
जगत		o		o
और		UNK		UNK
कृषि		d		d
मंत्रालय		o		o
ने		UNK		UNK
खरीफ		d		d
सीज़न		o		o
के		UNK		o
पहले		d		d
अग्रिम		o		o
अनुमानों		o		o
को		UNK		UNK
जारी		UNK		UNK
किया		UNK		UNK
है		UNK		UNK
।		UNK		UNK
तिलहन		d		d
उद्योग		o		o
और		UNK		UNK
ट्रेड		o		o
की		o		d
सबसे		UNK		UNK
बड़ी		o		d
संस्था		o		d
सेंट्रल		d		d
ऑर्गेनाइजेशन		d		d
फॉर		UNK		UNK
ऑयल		d		d
इंडस्ट्री		d		d
एंड		UNK		UNK
ट्रेड		d		d
यानि		UNK		UNK
कोइट		o		o
का		d		d
कहना		d		d
है		UNK		UNK
कि		UNK		UNK
इस		o		o
साल		d		d
तिलहन		o		o
का		d		d
उत्पादन		d		d
कम		UNK		UNK
रहने		o		o
की		d		d
उम्मीद		d		d
की		UNK		UNK
जा		UNK		UNK
रही		UNK		UNK
है		UNK		UNK
।		UNK		UNK
उद्योग		d		d
जगत		d		d
दावा		d		d
करता		UNK		UNK
है		UNK		UNK
कि		UNK		UNK
इस		o		o
खरीफ		d		d
सीज़न		o		o
के		UNK		UNK
दौरान		d		d
तिलहन		o		o
का		d		d
उत्पादन		d		d
पिछले		o		o
साल		o		o
की		o		o
तुलना		o		o
में		UNK		UNK
ज्यादा		UNK		UNK
होगा		UNK		UNK
।		UNK		UNK
उद्योग		o		o
के		UNK		UNK
मुताबिक		UNK		UNK
इस		d		o
साल		d		d
तिलहन		d		d
उत्पादन		d		d
करीब		UNK		UNK
130.4		any		any
लाख		any		any
टन		d		d
होगा		UNK		UNK
।		UNK		UNK
जो		d		d
पिछले		o		o
साल		o		o
के		o		o
उत्पादन		o		o
में		UNK		UNK
करीब		UNK		UNK
6.8		any		any
लाख		any		any
टन		d		d
ज्यादा		UNK		UNK
है		UNK		UNK
।		UNK		UNK
पिछले		o		o
साल		o		o
तिलहन		o		o
का		d		d
उत्पादन		d		d
123		any		any
लाख		any		any
टन		d		d
हुआ		UNK		UNK
था		UNK		UNK
।		UNK		UNK
उद्योग		o		o
का		d		d
अनुमान		d		d
है		UNK		UNK
कि		UNK		UNK
इस		o		o
साल		d		d
मूँगफली		o		o
का		d		d
उत्पादन		d		d
56.5		any		any
लाख		any		any
टन		d		d
NULL		UNK		UNK
और		UNK		UNK
सोयाबीन		o		o
का		d		d
उत्पादन		d		d
53.6		any		any
लाख		any		any
टन		d		d
होगा		UNK		UNK
।		UNK		UNK
जबकि		UNK		UNK
पिछले		o		o
साल		o		o
मूँगफली		o		o
का		d		d
उत्पादन		d		d
44.5		any		any
NULL		UNK		UNK
और		UNK		UNK
सोयाबीन		o		o
का		d		d
उत्पादन		d		d
58.5		any		any
लाख		any		any
टन		d		d
हुआ		UNK		UNK
था		UNK		UNK
।		UNK		UNK
कृषि		d		d
मंत्रालय		d		d
उद्योग		d		d
जगत		o		o
के		o		o
इन		o		o
आँकड़ों		o		o
से		UNK		UNK
इत्तेफाक		d		d
नहीं		UNK		UNK
रखता		UNK		UNK
है		UNK		UNK
और		UNK		UNK
उसके		o		o
मुताबिक		UNK		UNK
इस		d		o
साल		d		d
तिहलन		d		d
उत्पादन		o		o
में		UNK		UNK
करीब		UNK		UNK
2.5		any		any
फीसदी		o		o
की		d		d
कमी		d		d
आ		UNK		UNK
सकती		UNK		UNK
है		UNK		UNK
।		UNK		UNK
इस		o		o
साल		d		d
महाराष्ट्र		o		o
और		UNK		UNK
गुजरात		o		o
में		UNK		UNK
ज्यादा		UNK		UNK
बारिश		o		o
का		d		d
असर		d		d
तिलहन		d		d
उत्पादन		o		o
पर		UNK		UNK
पड़ा		UNK		UNK
है		UNK		UNK
।		UNK		UNK
पिछले		o		o
साल		o		o
149.4		any		any
लाख		any		any
टन		d		d
तिलहन		o		o
का		d		d
